claim_id,policy_number,member_id,member_first_name,member_last_name,member_dob,member_ssn,member_email,member_phone,member_address,member_city,member_state,member_zip,provider_id,provider_name,provider_npi,claim_type,service_date,submission_date,diagnosis_code,procedure_code,billed_amount,allowed_amount,paid_amount,patient_responsibility,claim_status,denial_reason,adjuster_id,payer_name,plan_type,network_status
CLM-100001,POL-55012,MBR-70001,James,Anderson,1978-03-14,123-45-6789,james.anderson@gmail.com,(212) 555-0142,123 Oak St,New York,NY,10001,PRV-2001,Mount Sinai Hospital,1234567890,medical,2026-01-15,2026-01-20,E11.9,99213,450.00,320.00,256.00,64.00,paid,,ADJ-101,Aetna,PPO,in_network
CLM-100002,POL-55013,MBR-70002,Maria,Garcia,1985-07-22,234-56-7890,maria.garcia@yahoo.com,(310) 555-0183,456 Maple Ave,Los Angeles,CA,90012,PRV-2002,Cedars-Sinai Medical,2345678901,medical,2026-01-18,2026-01-22,J45.909,94060,780.50,620.00,496.00,124.00,paid,,ADJ-102,Blue Cross,HMO,in_network
CLM-100003,POL-55014,MBR-70003,Robert,Johnson,1962-11-03,345-67-8901,robert.johnson@outlook.com,(773) 555-0166,789 Pine Rd,Chicago,IL,60601,PRV-2003,Northwestern Memorial,3456789012,medical,2026-01-20,2026-01-25,I10,93000,325.75,240.00,0.00,240.00,denied,non_covered_service,ADJ-103,United Healthcare,PPO,out_of_network
CLM-100004,POL-55015,MBR-70004,Jennifer,Williams,1991-05-30,456-78-9012,jennifer.williams@gmail.com,(617) 555-0144,321 Birch Ln,Boston,MA,02108,PRV-2004,Massachusetts General,4567890123,dental,2026-01-22,2026-01-28,K02.9,D2391,220.00,180.00,144.00,36.00,paid,,ADJ-104,Delta Dental,PPO,in_network
CLM-100005,POL-55016,MBR-70005,Michael,Brown,1955-09-17,567-89-0123,michael.brown@hotmail.com,(305) 555-0177,654 Cedar Dr,Miami,FL,33101,PRV-2005,Jackson Memorial,5678901234,medical,2026-01-24,2026-01-29,N18.3,82565,1250.00,980.00,784.00,196.00,paid,,ADJ-105,Humana,Medicare,in_network
CLM-100006,POL-55017,MBR-70006,Linda,Davis,1973-12-08,678-90-1234,linda.davis@gmail.com,(206) 555-0198,987 Elm St,Seattle,WA,98101,PRV-2006,Virginia Mason,6789012345,vision,2026-01-26,2026-02-01,H52.13,92014,195.00,150.00,120.00,30.00,paid,,ADJ-106,VSP,PPO,in_network
CLM-100007,POL-55018,MBR-70007,David,Martinez,1988-02-19,789-01-2345,david.martinez@yahoo.com,(713) 555-0111,147 Spruce Ct,Houston,TX,77002,PRV-2007,Texas Medical Center,7890123456,medical,2026-01-28,2026-02-02,M54.5,72148,1850.00,1480.00,1184.00,296.00,paid,,ADJ-107,Cigna,PPO,in_network
CLM-100008,POL-55019,MBR-70008,Patricia,Rodriguez,1996-08-25,890-12-3456,patricia.rodriguez@outlook.com,(602) 555-0122,258 Willow Way,Phoenix,AZ,85001,PRV-2008,Banner Health,8901234567,pharmacy,2026-01-30,2026-02-03,F32.9,J2060,85.50,62.00,49.60,12.40,paid,,ADJ-108,CVS Caremark,PPO,in_network
CLM-100009,POL-55020,MBR-70009,Christopher,Wilson,1970-04-11,901-23-4567,chris.wilson@gmail.com,(215) 555-0133,369 Ash Blvd,Philadelphia,PA,19103,PRV-2009,Penn Medicine,9012345678,medical,2026-02-01,2026-02-05,R51,70553,2400.00,1920.00,0.00,1920.00,pending,prior_auth_required,ADJ-109,Independence Blue,HMO,in_network
CLM-100010,POL-55021,MBR-70010,Barbara,Taylor,1964-06-28,012-34-5678,barbara.taylor@yahoo.com,(469) 555-0144,741 Poplar Pl,Dallas,TX,75201,PRV-2010,Baylor Scott White,0123456789,medical,2026-02-03,2026-02-08,Z00.00,99395,350.00,280.00,280.00,0.00,paid,,ADJ-110,Blue Cross,PPO,in_network
CLM-100011,POL-55022,MBR-70011,Daniel,Thomas,1982-10-05,112-23-3445,daniel.thomas@gmail.com,(404) 555-0155,852 Magnolia Ave,Atlanta,GA,30301,PRV-2011,Emory Healthcare,1122334455,dental,2026-02-05,2026-02-10,K08.89,D7140,480.00,360.00,288.00,72.00,paid,,ADJ-111,Delta Dental,HMO,in_network
CLM-100012,POL-55023,MBR-70012,Nancy,Moore,1957-01-14,223-34-4556,nancy.moore@hotmail.com,(303) 555-0166,963 Redwood Rd,Denver,CO,80202,PRV-2012,UCHealth,2233445566,medical,2026-02-07,2026-02-12,C50.911,77067,890.00,712.00,569.60,142.40,paid,,ADJ-112,Kaiser Permanente,HMO,in_network
CLM-100013,POL-55024,MBR-70013,Matthew,Jackson,1993-03-27,334-45-5667,matthew.jackson@outlook.com,(415) 555-0177,159 Sequoia St,San Francisco,CA,94102,PRV-2013,UCSF Medical,3344556677,vision,2026-02-09,2026-02-14,H40.11X1,92250,275.00,200.00,160.00,40.00,paid,,ADJ-113,VSP,PPO,in_network
CLM-100014,POL-55025,MBR-70014,Lisa,White,1976-11-18,445-56-6778,lisa.white@gmail.com,(503) 555-0188,357 Juniper Ln,Portland,OR,97201,PRV-2014,OHSU,4455667788,medical,2026-02-11,2026-02-15,G43.909,95970,620.00,0.00,0.00,0.00,denied,service_not_medically_necessary,ADJ-114,Providence,HMO,in_network
CLM-100015,POL-55026,MBR-70015,Kevin,Harris,1989-07-09,556-67-7889,kevin.harris@yahoo.com,(615) 555-0199,486 Cypress Ct,Nashville,TN,37201,PRV-2015,Vanderbilt Medical,5566778899,medical,2026-02-13,2026-02-17,S93.401A,73620,780.00,624.00,499.20,124.80,paid,,ADJ-115,BlueCross BlueShield,PPO,in_network
CLM-100016,POL-55027,MBR-70016,Sandra,Martin,1968-04-22,667-78-8990,sandra.martin@hotmail.com,(702) 555-0200,753 Sycamore Dr,Las Vegas,NV,89101,PRV-2016,University Medical Center,6677889900,pharmacy,2026-02-15,2026-02-18,E78.5,J7030,145.75,110.00,88.00,22.00,paid,,ADJ-116,Express Scripts,PPO,in_network
