sale_id,sale_date,store_id,store_name,customer_name,customer_email,product_sku,product_name,category,quantity,unit_price,discount_pct,total_amount,payment_method,region
DS-001,2026-03-18,STR-101,Downtown Mall,Alice Johnson,alice.j@email.com,SKU-4421,Wireless Headphones,Electronics,2,79.99,10,143.98,credit_card,Northeast
DS-002,2026-03-18,STR-102,Airport Plaza,Bob Martinez,bob.m@gmail.com,SKU-1187,Running Shoes,Footwear,1,129.50,0,129.50,debit_card,Southeast
DS-003,2026-03-18,STR-101,Downtown Mall,Carol Chen,,SKU-3305,Organic Coffee Beans,Grocery,3,14.99,5,42.72,cash,Northeast
DS-004,2026-03-18,STR-103,Lakeside Center,David Kim,david.kim@company.org,SKU-2290,Yoga Mat,Sports,1,45.00,15,38.25,credit_card,Midwest
DS-005,2026-03-18,STR-101,Downtown Mall,Eve Thompson,eve.t@email.com,SKU-4421,Wireless Headphones,Electronics,1,79.99,10,71.99,mobile_pay,Northeast
DS-006,2026-03-18,STR-104,Harbor View,Frank Wilson,,SKU-7788,Stainless Water Bottle,Home,2,24.99,0,49.98,cash,West
DS-007,2026-03-18,STR-102,Airport Plaza,Grace Liu,grace.liu@email.com,SKU-1187,Running Shoes,Footwear,1,129.50,20,103.60,credit_card,Southeast
DS-008,2026-03-18,STR-103,Lakeside Center,,unknown@test,SKU-5501,Bluetooth Speaker,Electronics,1,59.99,0,59.99,debit_card,Midwest
DS-009,2026-03-18,STR-104,Harbor View,Henry Park,henry.p@email.com,SKU-3305,Organic Coffee Beans,Grocery,5,14.99,0,74.95,credit_card,West
DS-010,2026-03-18,STR-101,Downtown Mall,Irene Davis,irene.d@gmail.com,SKU-9102,Desk Lamp,Home,1,34.99,25,26.24,mobile_pay,Northeast
