customer_id,first_name,last_name,email,phone,date_of_birth,gender,address,city,state,zip_code,country,account_open_date,account_type,risk_profile,annual_income,employment_status,employer,ssn,credit_score
CUST001,James,Anderson,james.anderson@email.com,555-0101,1985-03-14,M,123 Oak Lane,New York,NY,10001,US,2020-01-15,Individual,Moderate,125000,Employed,Acme Corp,123-45-6789,742
CUST002,Maria,Garcia,maria.garcia@email.com,555-0102,1990-07-22,F,456 Elm Street,Los Angeles,CA,90001,US,2019-06-20,Individual,Aggressive,95000,Employed,Tech Solutions,234-56-7890,718
CUST003,Robert,Johnson,robert.johnson@email.com,555-0103,1978-11-03,M,789 Pine Ave,Chicago,IL,60601,US,2018-03-10,Joint,Conservative,210000,Employed,Global Finance,345-67-8901,785
CUST004,Sarah,Williams,sarah.williams@email.com,555-0104,1992-05-18,F,321 Maple Dr,Houston,TX,77001,US,2021-02-28,Individual,Moderate,88000,Employed,HealthFirst,456-78-9012,695
CUST005,David,Brown,david.brown@email.com,555-0105,1983-09-27,M,654 Cedar Blvd,Phoenix,AZ,85001,US,2017-11-05,Individual,Aggressive,175000,Self-Employed,,567-89-0123,760
CUST006,Jennifer,Martinez,jennifer.martinez@email.com,555-0106,1995-01-30,F,987 Birch Ct,Philadelphia,PA,19101,US,2022-04-12,Individual,Conservative,72000,Employed,City Hospital,678-90-1234,710
CUST007,Michael,Davis,michael.davis@email.com,555-0107,1975-06-11,M,147 Walnut St,San Antonio,TX,78201,US,2016-08-22,Trust,Moderate,320000,Retired,,789-01-2345,800
CUST008,Lisa,Rodriguez,lisa.rodriguez@email.com,555-0108,1988-12-05,F,258 Spruce Way,San Diego,CA,92101,US,2020-09-15,Individual,Aggressive,110000,Employed,DataVerse,890-12-3456,735
CUST009,William,Wilson,william.wilson@email.com,555-0109,1970-04-19,M,369 Ash Rd,Dallas,TX,75201,US,2015-01-30,Joint,Conservative,280000,Employed,Petro Energy,901-23-4567,792
CUST010,Amanda,Taylor,amanda.taylor@email.com,555-0110,1993-08-25,F,741 Poplar Ln,San Jose,CA,95101,US,2021-07-08,Individual,Moderate,98000,Employed,CloudNet,012-34-5678,705
CUST011,Christopher,Thomas,christopher.thomas@email.com,555-0111,1982-02-14,M,852 Willow Dr,Austin,TX,73301,US,2019-05-20,Individual,Aggressive,145000,Employed,SpaceX,111-22-3333,755
CUST012,Jessica,Hernandez,jessica.hernandez@email.com,555-0112,1991-10-08,F,963 Hickory Pl,Jacksonville,FL,32099,US,2020-12-01,Individual,Moderate,82000,Employed,Sun Health,222-33-4444,720
CUST013,Daniel,Moore,daniel.moore@email.com,555-0113,1976-07-31,M,159 Sycamore Ave,Fort Worth,TX,76101,US,2017-03-15,Trust,Conservative,450000,Self-Employed,,333-44-5555,810
CUST014,Emily,Jackson,emily.jackson@email.com,555-0114,1997-03-22,F,267 Chestnut Cir,Columbus,OH,43085,US,2023-01-10,Individual,Aggressive,68000,Employed,StartupHub,444-55-6666,680
CUST015,Matthew,White,matthew.white@email.com,555-0115,1980-11-16,M,378 Magnolia St,Charlotte,NC,28201,US,2018-09-25,Joint,Moderate,195000,Employed,Bank of South,555-66-7777,770
CUST016,Ashley,Harris,ashley.harris@email.com,555-0116,1994-06-09,F,489 Dogwood Way,Indianapolis,IN,46201,US,2021-11-18,Individual,Conservative,76000,Employed,Midwest Pharma,666-77-8888,698
CUST017,Andrew,Clark,andrew.clark@email.com,555-0117,1973-01-25,M,591 Redwood Dr,San Francisco,CA,94101,US,2016-02-14,Individual,Aggressive,250000,Employed,VentureCapX,777-88-9999,788
CUST018,Stephanie,Lewis,stephanie.lewis@email.com,555-0118,1987-09-12,F,602 Cypress Ln,Seattle,WA,98101,US,2019-08-30,Individual,Moderate,105000,Employed,Amazon,888-99-0000,740
CUST019,Joshua,Robinson,joshua.robinson@email.com,555-0119,1981-04-07,M,713 Palm Ct,Denver,CO,80201,US,2018-06-12,Joint,Conservative,185000,Employed,Mountain Gas,999-00-1111,775
CUST020,Nicole,Walker,nicole.walker@email.com,555-0120,1996-12-20,F,824 Beech Blvd,Nashville,TN,37201,US,2022-03-05,Individual,Moderate,71000,Employed,Music City Med,100-20-3040,690
CUST021,Kevin,Hall,kevin.hall@email.com,555-0121,1979-08-03,M,935 Juniper St,Oklahoma City,OK,73101,US,2017-10-20,Individual,Aggressive,160000,Self-Employed,,200-30-4050,762
CUST022,Rachel,Allen,rachel.allen@email.com,555-0122,1989-05-15,F,146 Ivy Way,Portland,OR,97201,US,2020-02-28,Individual,Conservative,92000,Employed,GreenTech,300-40-5060,725
