order_id,customer_id,customer_email,customer_phone,credit_card_number,customer_name,order_date,ship_date,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,payment_method,order_status,shipping_address,city,state,zip_code,country
ORD-10001,CUST-501,alice.johnson@gmail.com,(415) 555-0122,4532-1234-5678-9012,Alice Johnson,2026-04-01,2026-04-03,PROD-101,Wireless Headphones,Electronics,2,79.99,0.10,143.98,credit_card,delivered,742 Elm St,San Francisco,CA,94102,US
ORD-10002,CUST-502,bob.martinez@yahoo.com,(212) 555-0198,5425-9876-5432-1098,Bob Martinez,2026-04-01,2026-04-04,PROD-102,Running Shoes,Footwear,1,129.95,0.00,129.95,credit_card,delivered,88 Broadway,New York,NY,10006,US
ORD-10003,CUST-503,carol.white@outlook.com,(773) 555-0134,,Carol White,2026-04-02,,PROD-103,Yoga Mat,Fitness,1,34.99,0.05,33.24,debit_card,cancelled,455 Oak Ave,Chicago,IL,60601,US
ORD-10004,CUST-504,david.lee@gmail.com,(310) 555-0177,4716-5555-4444-3333,David Lee,2026-04-02,2026-04-05,PROD-104,Coffee Maker,Kitchen,1,89.99,0.00,89.99,credit_card,delivered,120 Sunset Blvd,Los Angeles,CA,90028,US
ORD-10005,CUST-505,emma.davis@hotmail.com,(617) 555-0155,3782-822463-10005,Emma Davis,2026-04-03,2026-04-06,PROD-105,Bluetooth Speaker,Electronics,3,49.99,0.15,127.47,credit_card,delivered,33 Beacon St,Boston,MA,02108,US
ORD-10006,CUST-506,frank.wilson@gmail.com,(503) 555-0199,,Frank Wilson,2026-04-03,2026-04-07,PROD-106,Desk Lamp,Home Office,2,42.50,0.00,85.00,paypal,delivered,901 Pine St,Portland,OR,97201,US
ORD-10007,CUST-507,grace.kim@company.com,(206) 555-0143,4532-8888-7777-6666,Grace Kim,2026-04-04,2026-04-06,PROD-107,Mechanical Keyboard,Electronics,1,159.99,0.20,127.99,credit_card,delivered,567 Cherry Ln,Seattle,WA,98101,US
ORD-10008,CUST-508,henry.brown@gmail.com,(404) 555-0166,5425-1111-2222-3333,Henry Brown,2026-04-04,,PROD-108,Water Bottle,Fitness,4,24.99,0.00,99.96,debit_card,processing,234 Peach Rd,Atlanta,GA,30301,US
ORD-10009,CUST-509,isabel.garcia@yahoo.com,(305) 555-0188,4716-9999-8888-7777,Isabel Garcia,2026-04-05,2026-04-08,PROD-109,Smart Watch,Electronics,1,299.99,0.10,269.99,credit_card,delivered,678 Ocean Dr,Miami,FL,33101,US
ORD-10010,CUST-510,jack.thompson@outlook.com,(512) 555-0121,,Jack Thompson,2026-04-05,2026-04-09,PROD-110,Backpack,Accessories,1,69.95,0.00,69.95,paypal,delivered,432 Congress Ave,Austin,TX,78701,US
ORD-10011,CUST-501,alice.johnson@gmail.com,(415) 555-0122,4532-1234-5678-9012,Alice Johnson,2026-04-06,2026-04-08,PROD-111,Phone Case,Accessories,2,19.99,0.00,39.98,credit_card,delivered,742 Elm St,San Francisco,CA,94102,US
ORD-10012,CUST-511,karen.patel@gmail.com,(602) 555-0144,5425-4444-5555-6666,Karen Patel,2026-04-06,2026-04-09,PROD-112,Air Purifier,Home,1,199.99,0.05,189.99,credit_card,delivered,890 Cactus Rd,Phoenix,AZ,85001,US
ORD-10013,CUST-512,leo.nguyen@yahoo.com,(303) 555-0177,4532-2222-3333-4444,Leo Nguyen,2026-04-07,,PROD-113,Gaming Mouse,Electronics,1,79.95,0.00,79.95,debit_card,returned,123 Mountain View,Denver,CO,80201,US
ORD-10014,CUST-513,mia.anderson@hotmail.com,(919) 555-0133,,Mia Anderson,2026-04-07,2026-04-10,PROD-114,Essential Oils Set,Health,1,45.99,0.10,41.39,paypal,delivered,567 Duke St,Raleigh,NC,27601,US
ORD-10015,CUST-514,noah.clark@gmail.com,(612) 555-0155,3782-822463-10015,Noah Clark,2026-04-08,2026-04-11,PROD-115,Portable Charger,Electronics,2,34.99,0.00,69.98,credit_card,delivered,234 Lake St,Minneapolis,MN,55401,US
ORD-10016,CUST-515,olivia.wright@company.com,(469) 555-0188,4716-6666-7777-8888,Olivia Wright,2026-04-08,2026-04-12,PROD-116,Resistance Bands,Fitness,3,15.99,0.00,47.97,credit_card,delivered,789 Commerce St,Dallas,TX,75201,US
ORD-10017,CUST-516,paul.jones@gmail.com,(720) 555-0199,5425-7777-8888-9999,Paul Jones,2026-04-09,2026-04-11,PROD-117,LED Monitor,Electronics,1,349.99,0.15,297.49,credit_card,delivered,456 Broadway,Denver,CO,80202,US
ORD-10018,CUST-517,quinn.taylor@yahoo.com,(415) 555-0166,,Quinn Taylor,2026-04-09,,PROD-118,Notebook Set,Office,5,12.99,0.00,64.95,debit_card,processing,321 Market St,San Francisco,CA,94105,US
ORD-10019,CUST-518,rachel.moore@outlook.com,(206) 555-0121,4532-3333-2222-1111,Rachel Moore,2026-04-10,2026-04-13,PROD-119,Wireless Charger,Electronics,1,39.99,0.05,37.99,credit_card,delivered,890 Pike St,Seattle,WA,98102,US
ORD-10020,CUST-519,sam.harris@gmail.com,(773) 555-0144,5425-1234-4321-5678,Sam Harris,2026-04-10,2026-04-14,PROD-120,Protein Powder,Health,2,54.99,0.10,98.98,credit_card,delivered,567 Michigan Ave,Chicago,IL,60602,US
ORD-10021,CUST-520,tina.roberts@hotmail.com,(310) 555-0188,,Tina Roberts,2026-04-11,2026-04-14,PROD-101,Wireless Headphones,Electronics,1,79.99,0.00,79.99,paypal,delivered,234 Venice Blvd,Los Angeles,CA,90034,US
ORD-10022,CUST-502,bob.martinez@yahoo.com,(212) 555-0198,5425-9876-5432-1098,Bob Martinez,2026-04-11,2026-04-15,PROD-121,Sunglasses,Accessories,1,149.95,0.20,119.96,credit_card,delivered,88 Broadway,New York,NY,10006,US
ORD-10023,CUST-521,uma.jackson@gmail.com,(404) 555-0133,4716-1111-9999-8888,Uma Jackson,2026-04-12,,PROD-122,Instant Pot,Kitchen,1,89.95,0.00,89.95,credit_card,returned,678 Peachtree St,Atlanta,GA,30308,US
ORD-10024,CUST-522,victor.chen@company.com,(858) 555-0155,4532-5678-1234-9876,Victor Chen,2026-04-12,2026-04-15,PROD-123,Standing Desk,Home Office,1,449.99,0.10,404.99,credit_card,delivered,123 La Jolla Blvd,San Diego,CA,92037,US
