customer_id,first_name,last_name,email,phone,ssn,dob,credit_card,street_address,city,state,zip_code,ip_address,account_balance,loyalty_tier,signup_date,lifetime_orders,marketing_opt_in
C00001,David,Anderson,david.anderson15@outlook.com,(759) 288-1459,201-07-0013,10/15/1990,3714-4339-4545-8039,1120 Elm Way,New York,NY,10093,161.128.90.206,24596.37,gold,2022-07-26,190,True
C00002,Tara,Brown,tara.brown580@icloud.com,(536) 767-1523,202-14-0026,04/14/1970,5105-2706-7746-4788,587 Pine Rd,Miami,FL,33185,178.87.167.58,44163.84,bronze,2023-01-26,170,True
C00003,Olivia,King,olivia.king955@icloud.com,(980) 418-3252,203-21-0039,05/11/1953,4532-1100-9799-5836,4658 Cedar Ln,New York,NY,10044,120.179.223.216,11543.04,silver,2022-08-10,118,True
C00004,Fatima,Moore,fatima.moore344@gmail.com,(583) 582-4802,204-28-0052,07/26/1978,3485-0668-7558-2924,8763 Main St,Phoenix,AZ,85016,111.102.38.143,45059.22,bronze,2022-07-01,101,False
C00005,Diego,Lopez,diego.lopez856@outlook.com,(923) 479-7839,205-35-0065,12/11/2003,3485-0176-8536-7601,5149 Main St,Chicago,IL,60689,71.233.65.106,14614.09,bronze,2025-08-25,98,False
C00006,Henry,Lewis,henry.lewis879@outlook.com,(381) 784-9622,206-42-0078,04/24/1956,4532-7442-1287-1298,4194 Main St,Denver,CO,80216,146.211.196.92,43084.72,silver,2020-10-18,197,False
C00007,Ingrid,Harris,ingrid.harris514@gmail.com,(808) 716-3005,207-49-0091,05/14/1975,3714-7640-5271-8396,462 Cedar Ln,Boston,MA,02196,40.226.113.62,36861.69,silver,2021-06-17,140,True
C00008,Bob,Moore,bob.moore205@outlook.com,(540) 749-7090,208-56-0104,01/02/1950,4532-6143-3727-4114,3028 Pine Rd,Portland,OR,97209,69.178.216.20,25074.16,bronze,2024-12-08,189,True
C00009,Grace,Moore,grace.moore595@yahoo.com,(462) 598-6317,209-63-0117,09/11/1988,4532-8677-2076-7299,2858 Birch Blvd,Miami,FL,33193,87.206.33.35,14845.0,bronze,2020-12-10,95,True
C00010,James,Robinson,james.robinson385@icloud.com,(212) 280-7583,210-70-0130,07/10/1961,4532-8456-1617-7671,5471 Chestnut Pl,Seattle,WA,98171,204.227.8.179,19365.81,silver,2021-06-09,109,True
C00011,Tara,Gonzalez,tara.gonzalez412@gmail.com,(433) 696-6879,211-77-0143,07/11/1981,3485-4459-1892-4297,6711 Birch Blvd,Denver,CO,80291,30.86.155.232,17584.21,bronze,2024-12-31,102,True
C00012,Grace,Clark,grace.clark385@gmail.com,(902) 445-4534,212-84-0156,12/20/1953,3485-9417-9236-1033,5861 Chestnut Pl,Los Angeles,CA,90020,205.199.118.181,23566.85,bronze,2021-03-21,186,True
C00013,Olivia,Harris,olivia.harris110@proton.me,(354) 591-4449,213-91-0169,09/28/1950,4485-5163-3375-3213,6421 Chestnut Pl,Portland,OR,97282,94.203.113.142,35205.33,gold,2023-12-25,176,False
C00014,Quinn,Brown,quinn.brown936@gmail.com,(550) 200-9374,214-98-0182,05/07/1952,4485-5649-9416-1964,6754 Walnut Ct,Los Angeles,CA,90001,198.246.88.102,24099.53,bronze,2022-11-20,21,False
C00015,Henry,Anderson,henry.anderson101@icloud.com,(785) 386-3164,215-05-0195,10/30/1990,3714-6436-5104-8977,6186 Oak Ave,Phoenix,AZ,85068,23.253.237.123,48853.67,bronze,2024-01-10,168,True
C00016,Kate,Thomas,kate.thomas380@gmail.com,(629) 533-2715,216-12-0208,07/16/1979,5105-5881-7600-4666,8888 Chestnut Pl,Austin,TX,78788,206.214.239.244,6795.79,silver,2024-06-27,20,False
C00017,Rachel,Moore,rachel.moore8@proton.me,(712) 270-7342,217-19-0221,04/23/1996,4485-3186-8424-8702,6687 Pine Rd,New York,NY,10041,165.251.224.125,2286.34,bronze,2024-04-25,174,True
C00018,Paul,Sanchez,paul.sanchez271@yahoo.com,(662) 117-8336,218-26-0234,07/11/1994,4485-9080-6943-1744,6141 Chestnut Pl,Minneapolis,MN,55492,137.91.125.4,40246.88,platinum,2025-10-28,66,False
C00019,Frank,Sanchez,frank.sanchez43@outlook.com,(933) 390-2605,219-33-0247,02/18/1967,4485-7482-7696-0262,833 Oak Ave,Minneapolis,MN,55472,182.20.122.16,11042.31,bronze,2024-09-07,39,False
C00020,Xander,Young,xander.young899@icloud.com,(841) 450-8813,220-40-0260,10/25/1986,3714-2933-0796-4017,168 Elm Way,Austin,TX,78740,53.54.188.78,19885.37,silver,2023-04-02,126,True
C00021,Diego,King,diego.king664@yahoo.com,(440) 499-6769,221-47-0273,02/01/1997,3485-2476-5913-3824,2398 Chestnut Pl,Seattle,WA,98130,209.193.76.86,43150.25,gold,2020-07-14,57,True
C00022,Quinn,Ramirez,quinn.ramirez823@icloud.com,(645) 986-3639,222-54-0286,12/07/1973,5425-9964-7097-6011,7516 Spruce Ter,Boston,MA,02108,42.209.58.42,47622.5,gold,2020-05-04,73,False
C00023,Tara,Ramirez,tara.ramirez950@gmail.com,(339) 611-9187,223-61-0299,07/03/1999,3485-5681-9096-7446,6601 Birch Blvd,Minneapolis,MN,55476,148.165.27.232,10657.61,platinum,2025-07-13,141,True
C00024,Liam,Taylor,liam.taylor711@icloud.com,(713) 708-1539,224-68-0312,01/27/1963,3485-9144-6794-7932,5693 Maple Dr,Denver,CO,80219,112.52.65.216,38939.47,silver,2020-10-28,185,False
