order_id,customer_id,customer_name,email,phone,order_date,ship_date,region,product_category,product_name,quantity,unit_price,discount_pct,revenue,payment_method,status
ORD-10001,CUST-501,4fa8c1cdf83eb36e391f810620bfe090be6d41177e9d5dafcdde9de957fd3460,84d2b8ab88ab51b429df660d4a2372acc20ce7174fe0668986dfd90efaea7851,***-****,2024-06-01,2024-06-04,East,Electronics,Wireless Mouse,2,29.99,0.0,59.98,credit_card,completed
ORD-10002,CUST-502,7e3d89811312ed290e4d1e50b7edbeea816a31d0b586c5e85c16c9c4c6d22ebe,edc835963a689b85d481a857da8879a51cbb6b92137872223efadba62bd1315f,***-****,2024-06-01,2024-06-05,West,Office Supplies,Notebook Pack,5,12.50,0.10,56.25,debit_card,completed
ORD-10003,CUST-503,363437fe1af86a2a60831635819fa737728c24581c9812d11202738b1ad81b12,4a680eed9424dbf202b6dca3d403a592ae84e859fd639fa1ef362fc4d465e85d,***-****,2024-06-02,2024-06-06,East,Electronics,USB Hub,1,45.00,0.0,45.00,credit_card,completed
ORD-10004,CUST-504,ce4c3b259cf559b42f930957f3f6dd648739108ae05ec58ec7d64bae65f7d9db,683e44c3d94f7d433f9ea7762de447db8f5adb0fe5d0a4f552a98b9d68b94fac,***-****,2024-06-02,,Central,Furniture,Standing Desk,1,599.99,0.15,509.99,credit_card,pending
ORD-10005,CUST-505,3f7e13b74f0f976e47de105559203f6e238bd7ab8dfed2a151850c622a284c67,e3b206d613511eecf98fd9432dd9f7b5448d1ac9e7821ab2eca0a5f25804977e,***-****,2024-06-03,2024-06-07,West,Electronics,Bluetooth Speaker,3,79.99,0.05,227.97,paypal,completed
ORD-10006,CUST-501,4fa8c1cdf83eb36e391f810620bfe090be6d41177e9d5dafcdde9de957fd3460,84d2b8ab88ab51b429df660d4a2372acc20ce7174fe0668986dfd90efaea7851,***-****,2024-06-03,2024-06-06,East,Office Supplies,Sticky Notes,10,3.99,0.0,39.90,credit_card,completed
ORD-10007,CUST-506,69498db2f2c15cba69ab0c66116a6fe2c3c8a3b6214389af968ea13bda3488c2,4b75102fc7514f8bd010daada92cbc995e52b39ccd2d4f3d683bfc5c147ccc87,***-****,2024-06-04,2024-06-08,South,Electronics,Webcam HD,1,89.99,0.0,89.99,debit_card,completed
ORD-10008,CUST-507,bcc29aaab12e297d9233393cbac370e2ccfca51bfd7ef3b1cc62eae6cff64b43,e870433ca703b457ac3371ec53d62a84e44099c23d9a01b76b370e5cf43d449b,***-****,2024-06-04,2024-06-07,East,Furniture,Ergonomic Chair,1,449.00,0.20,359.20,credit_card,completed
ORD-10009,CUST-508,b27950151c3721ef4f238ef245329134b8a05495409ea48c483d31bc9c69408b,aeb5053f058ff90141912100e5acbcff14d446a33f6adc01ea0b8f1ce22d14d4,***-****,2024-06-05,2024-06-09,Central,Office Supplies,Printer Paper,20,8.99,0.0,179.80,debit_card,completed
ORD-10010,CUST-509,5781c4e366eee9585b48608a0bc69ebe7ff186559d7002cfddcb21ff734756f9,28ac8d5b5723fcffb51848dac9f5410caeb5e0bfefccf6ff20edbed4cc36cd4e,***-****,2024-06-05,,West,Electronics,Mechanical Keyboard,1,149.99,0.10,134.99,credit_card,pending
