buyer_name,buyer_ticker,supplier_name,supplier_ticker,relationship_type,supply_concentration_pct,product_category,effective_date,contract_value_usd,supplier_address,contact_email
Procter & Gamble,PG,Deloitte,DLT,Service Provider,-21.7,Audit,2025-05-02,5229116.09,"80570 Ashley Parks, Michellemouth, NV 42641",tina.snyder@deloitte.com
Amazon.com Inc,AMZN,UPS Inc,UPS,Logistics Partner,6.88,Supply Chain,2024-07-02,2923366.35,"58714 Hudson Street Apt. 821, West Ashley, NH 99455",erik.gay@upsinc.com
Coca-Cola Co,KO,Iron Mountain,IRM,Service Provider,17.68,Data Storage,2024-12-24,5058125.62,"2441 Rachel Drive Apt. 618, Mooreside, SC 62048",regina.silva@ironmountain.com
General Electric,GE,FedEx Corp,FDX,Logistics Partner,13.03,Express Delivery,2023-05-11,2564182.77,"7243 Steven Cliffs Suite 656, South Benjamin, KS 15532",david.wood@fedexcorp.com
Ford Motor Co,F,Magna International,MGA,Contract Manufacturer,7.09,Seating,2025-11-24,2048472.31,"PSC 1218, Box 2097, APO AE 24971",ashley.hayes@magnainterna.com
Merck & Co,MRK,,,Logistics Partner,18.83,International Shipping,2022-11-02,4555474.11,,ian.lee@dhlexpress.com
Merck & Co,MRK,Accenture plc,ACN,Service Provider,12.53,Consulting,2022-03-10,6489820.27,"PSC 9649, Box 3046, APO AA 07430",timothy.mitchell@accentureplc.com
Chevron Corp,CVX,ChampionX Corp,CHX,Direct Supplier,4.61,Artificial Lift,2022-12-12,3884136.4,"96149 Tara Cliff Suite 090, Kevinport, ME 75404",amy.salinas@championxcor.com
Oracle Corp,ORCL,FedEx Corp,FDX,Logistics Partner,13.55,Express Delivery,2024-07-21,6523733.92,"380 Patrick Flat Apt. 676, Lake Danielle, CO 41054",matthew.knight@fedexcorp.com
Netflix Inc,NFLX,SAP SE,SAP,Service Provider,1.04,Business Software,2022-03-28,4390384.98,"6599 Ronald Glens, Cannonland, LA 78920",mitchell.williams@sapse.com
